,text,created,statusSource,screenName,retweetCount,isRetweet
92,"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",11/23/2016 18:11,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",everG3,6,TRUE
93,"15 days after #demonetization, country is still suffering 4m acute shortage of currency notes.
Big loss 2 economy
Share market tumbling
SOS",11/23/2016 18:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SaubhagyaVarma,0,FALSE
94,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,11/23/2016 18:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Salimpa71373837,66,TRUE
95,"RT @ashu3page: Man ends life over fund shortage ahead of daughter’s wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t…",11/23/2016 18:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",khan96faiz,132,TRUE
96,RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,11/23/2016 18:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nitinpoddar,275,TRUE
97,"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",11/23/2016 18:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnakhaRavindran,20,TRUE
98,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",11/23/2016 18:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jayaram84296692,112,TRUE
99,"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",11/23/2016 18:10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilapakurthi,406,TRUE
100,RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,11/23/2016 18:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gr8india,69,TRUE
101,"Very unfortunate... India slips due to #demonetization 
@BJP4India @PMOIndia @RanaAyyub @TruthOfGujarat @AnupamPkher
https://t.co/6QhcGyBpKw",11/23/2016 18:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",razikararvi,0,FALSE
102,"What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using money 2 control people",11/23/2016 18:10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Currency_crisis,1,FALSE
103,"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",11/23/2016 18:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MdShuaib7,9,TRUE
104,"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",11/23/2016 18:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shobhanpounikar,30,TRUE
105,"RT @sitaramlamba: Cooperative banks shut down, sowing season completely disrupted, agri markets &amp; Farmers badly affected #demonetization",11/23/2016 18:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Arshkhankhan1,22,TRUE
106,RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,11/23/2016 18:09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jaiinashish,30,TRUE
107,RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament…,11/23/2016 18:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",TeenaSingh882,1,TRUE
108,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mshivaram,95,TRUE
